host, ip, mac, "os"
goz-srtr-vlan487.Stanford.EDU, 171.64.144.1, 00:10:DB:FF:80:80, ""
bonair-144net-01.Stanford.EDU, 171.64.144.10, 00:19:B9:AF:25:01, ""
fac-projecto-dev.Stanford.EDU, 171.64.144.12, 00:0C:29:D0:40:26, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
Form1record.Stanford.EDU, 171.64.144.14, 00:50:56:AD:63:3A, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
res-fuho.Stanford.EDU, 171.64.144.15, 00:50:56:AD:63:3A, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
cpm-webserver.Stanford.EDU, 171.64.144.17, 00:50:56:AD:63:3A, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
form1-2005.Stanford.EDU, 171.64.144.20, 00:50:56:AD:63:3A, ""
lbre-bacula.Stanford.EDU, 171.64.144.21, 00:0C:29:43:8D:6B, ""
lbre-arcgis.Stanford.EDU, 171.64.144.22, 00:50:56:AE:00:08, ""
CPM-FTP.Stanford.EDU, 171.64.144.23, 00:50:56:AD:35:D4, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
fac-projecto.Stanford.EDU, 171.64.144.24, 00:50:56:AD:2E:44, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
rep60.Stanford.EDU, 171.64.144.25, 00:50:56:AD:5E:FF, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
DPMMSIIS.Stanford.EDU, 171.64.144.26, 00:50:56:AD:63:3A, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
DPM-IIS08dev.Stanford.EDU, 171.64.144.27, 00:50:56:AD:7B:79, "Microsoft Windows Vista (100%)"
Benchmark-dev.Stanford.EDU, 171.64.144.28, 00:50:56:AD:63:3A, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
benchmark.Stanford.EDU, 171.64.144.29, 00:50:56:AD:63:3A, ""
FPA.Stanford.EDU, 171.64.144.30, 00:50:56:AD:63:3A, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
nagios-porter.Stanford.EDU, 171.64.144.35, , "Linux 2.6.19 - 2.6.20 (100%)"
lbre-iis-1.Stanford.EDU, 171.64.144.36, 00:50:56:AE:00:0C, "Microsoft Windows Vista (100%) *OR* Microsoft Windows Vista Home Basic (100%)"
fac-web1-dev.Stanford.EDU, 171.64.144.37, 00:50:56:AD:21:58, ""
lbre-apps-dev.Stanford.EDU, 171.64.144.38, 00:50:56:AD:21:58, ""
lbre-internal-dev.Stanford.EDU, 171.64.144.39, 00:50:56:AD:21:58, ""
lbre-fme.Stanford.EDU, 171.64.144.40, 00:50:56:AE:00:00, "Microsoft Windows 2000 SP3/SP4 or Windows XP SP1/SP2 (100%)"
lbre-chef.Stanford.EDU, 171.64.144.41, 00:0C:29:55:EE:4F, ""
fac-webdev.Stanford.EDU, 171.64.144.44, 00:14:22:FE:B4:90, "Linux 2.6.9 - 2.6.26 (100%)"
lbre-internal-temp.Stanford.EDU, 171.64.144.45, 00:14:22:FE:B4:90, "Linux 2.6.9 - 2.6.26 (100%)"
lbre-internal.Stanford.EDU, 171.64.144.46, 00:50:56:AD:48:95, "Linux 2.6.9 - 2.6.26 (100%)"
bondata.Stanford.EDU, 171.64.144.50, 60:EB:69:D2:AC:29, "Linux 2.6.17 - 2.6.22 (100%)"
